satellite_name,norad_id,horizon_h,future_x_km,future_y_km,future_z_km,vel_x_km_s,vel_y_km_s,vel_z_km_s,altitude_km,velocity_mag_km_s,sgp4_risk_score
ESSA 8 (TOS-F),3615,12,-4399.1703,-6289.46,-1546.9292,-0.432964,1.952725,-6.845164,1458.6230030452125,7.131399788107311,0.0009108228819361624
ESSA 8 (TOS-F),3615,24,251.9065,3194.2947,-7160.9113,3.96242,5.334045,2.532949,1474.1020491551308,7.111162981891639,0.000906446205203598
ISIS 1,3669,1,-5948.0122,3231.7029,1598.5091,1.52432,-1.087768,7.976088,584.4283914076823,8.192970796235514,0.0011779246848916765
ISIS 1,3669,6,7330.5242,-4176.9513,4170.4366,2.994796,-1.495851,-5.097186,3040.4849329942026,6.098170087363339,0.000647949832654436
ISIS 1,3669,12,680.6525,-623.4601,7974.6793,6.279106,-3.483257,0.392252,1656.920045684109,7.191252541719627,0.0008957802893896181
ISIS 1,3669,24,-2523.7483,1623.4788,-7261.1547,-5.522109,2.940517,3.839733,1485.8031967928555,7.3405638439059295,0.0009342939691937741
OPS 2644,3673,1,3947.1312,4490.2608,-4966.6785,-4.117185,-2.329121,-5.384196,1401.3987342642386,7.166978688630378,0.0009221064093167408
OPS 2644,3673,6,568.0931,-1222.8112,7673.3154,5.468474,4.588969,0.311183,1419.8771155108216,7.145605588830522,0.0009171760102087053
OPS 2644,3673,12,5304.0814,3489.3032,4491.1317,2.572241,3.444369,-5.730239,1405.8104172662643,7.163500580537633,0.0009211360694396065
OPS 2644,3673,24,420.733,2004.6236,-7504.4412,-5.536639,-4.290122,-1.470104,1407.9568554674097,7.156865512360911,0.0009200289505823311
ESSA 9 (TOS-G),3764,1,829.424,-5553.6334,-5428.2466,-2.653677,4.441003,-4.946923,1439.035164055481,7.157971530696877,0.0009165095137651071
ESSA 9 (TOS-G),3764,6,1066.3581,1579.2202,7635.7508,2.582188,-6.542064,0.971426,1498.9267034213408,7.09999751555703,0.0009021681882336217
ESSA 9 (TOS-G),3764,12,2770.6261,-3897.4246,6222.5518,1.200764,-5.678838,-4.127899,1476.7027468151227,7.122540654018129,0.0009075956217771768
ESSA 9 (TOS-G),3764,24,1416.0597,-6283.0087,-4418.4063,-2.539755,3.462588,-5.727887,1439.4889494909003,7.158809999052775,0.0009165636166119149
COSMOS 272,3818,1,-5349.77,-474.025,-5326.5657,4.93571,-2.393693,-4.75713,1193.194663673159,7.2609424470415,0.0009599095171244046
COSMOS 272,3818,6,-4921.7395,2536.5125,5147.2216,-5.323402,-0.333721,-4.933138,1188.848250330363,7.26538568050513,0.0009610491427771232
COSMOS 272,3818,12,-3974.6905,-1010.3132,-6359.1194,5.991806,-2.287412,-3.394802,1195.8551510082998,7.256629618396133,0.0009590020521840134
COSMOS 272,3818,24,209.5304,2092.468,7268.6966,-7.082876,1.549466,-0.255707,1195.787666004625,7.254885484029434,0.0009587801064675733
NIMBUS 3,3890,1,-5776.6436,189.21,4697.8267,-4.475171,1.741054,-5.537179,1077.1532884839216,7.329309366386304,0.0009840438404669558
NIMBUS 3,3890,6,2789.2747,-1641.7272,6709.8516,-6.691573,0.636378,2.909058,1078.6597268131982,7.324257274330074,0.0009831666871935412
NIMBUS 3,3890,12,-7081.6702,1503.3643,-1878.0051,1.997378,0.876614,-6.968481,1108.1082486957312,7.301896906095086,0.0009763058192624036
NIMBUS 3,3890,24,-146.6671,-1248.8248,7334.6715,-7.242224,1.134829,0.038625,1070.671897647041,7.3306982761563715,0.000985087541749085
SECOR 13 (EGRS 13),3891,1,-3398.439,2292.4057,-6295.1037,6.053774,-1.389052,-3.765956,1141.179585437716,7.263612716528601,0.0009669114847319466
SECOR 13 (EGRS 13),3891,6,-6974.6444,2020.3556,1851.1145,-1.382512,1.71339,-6.9467,1122.6056841158234,7.287227566931336,0.0009724594373010651
SECOR 13 (EGRS 13),3891,12,3096.396,193.8083,-6820.4888,6.219503,-2.568056,2.781935,1121.9498408097152,7.281228710208875,0.0009717439546375023
SECOR 13 (EGRS 13),3891,24,-6978.8183,2476.82,-1225.7896,1.497432,0.780682,-7.076674,1135.0710308578246,7.275375033771386,0.0009692654124723792
OPS 1127 (DMSP 4B F3),4047,1,2126.8124,-2666.6357,6265.6742,-5.704801,3.467223,3.396733,762.929500762808,7.490272682260573,0.0010499504770070495
OPS 1127 (DMSP 4B F3),4047,6,2924.3165,-3118.9881,5713.6079,-5.321841,2.995664,4.334949,765.1774778277668,7.489177342190396,0.0010494662395182023
OPS 1127 (DMSP 4B F3),4047,12,-416.8862,1568.7016,-7025.9978,6.073265,-4.050778,-1.261339,840.051511339927,7.408395658874465,0.0010273669030410057
OPS 1127 (DMSP 4B F3),4047,24,4348.7155,-2043.471,-5355.4403,4.169907,-3.761923,4.862797,823.98721573884,7.428794229872503,0.0010324958206488842
COSMOS 292,4070,1,3246.0534,2409.4491,-5827.4908,2.172027,6.111284,3.746391,721.3872331695911,7.490056003947234,0.00105606980522973
COSMOS 292,4070,6,3604.935,3454.0753,-5035.2198,1.509174,5.497179,4.863597,719.8131386045652,7.493407696016947,0.001056776923822817
COSMOS 292,4070,12,-3476.346,-6179.8359,-247.2655,1.91327,-0.799828,-7.201511,723.8215967799397,7.494136881963459,0.0010562826393499102
COSMOS 292,4070,24,2309.1494,123.4846,-6707.27,3.453997,6.509182,1.316183,723.7086092987302,7.485444761309912,0.0010550743058705837
SOICAL (CONE),4132,1,-1825.1593,1638.9792,6728.6983,-4.806376,-5.699446,0.07825,790.9019890551435,7.455941122540602,0.0010410560119273916
SOICAL (CONE),4132,6,-1280.0616,2250.2927,6678.3071,-5.033009,-5.43271,0.858693,791.5526634977177,7.45539208938269,0.001040884785026065
SOICAL (CONE),4132,12,3438.4697,475.8022,-6270.5636,3.850234,5.849081,2.547322,796.2469939990133,7.451503188686226,0.0010396604435322537
SOICAL (CONE),4132,24,5082.4234,4860.1313,-1408.5711,-0.804447,2.827435,6.849484,800.8879253556706,7.453653783299169,0.0010392875433743653
COSMOS 304,4138,1,-2992.746,-1113.5392,-6369.9885,6.542769,-2.457482,-2.635268,754.5351841517768,7.469382932981077,0.001048255708510719
COSMOS 304,4138,6,-2514.2292,-1272.9711,-6543.8392,6.74764,-2.406582,-2.115068,753.8603752652234,7.469658301217533,0.001048393639705462
COSMOS 304,4138,12,-2363.129,2492.0498,6228.8357,-6.803728,0.979616,-2.957194,741.8816279982839,7.483004647805319,0.001052035593893497
COSMOS 304,4138,24,-6710.3076,1356.0981,-1986.5786,1.530122,-2.490982,-6.877946,757.3746167986528,7.47344671742055,0.0010484082443996004
TEMPSAT 2,4168,1,2951.5282,-311.421,6651.6128,4.29788,5.786191,-1.64943,912.7115947681568,7.3940785840955865,0.001015152575426889
TEMPSAT 2,4168,6,118.8521,-3389.7757,6454.3542,5.27072,4.627505,2.31751,920.3231485816441,7.386822350884377,0.0010130976505027499
TEMPSAT 2,4168,12,237.0232,3657.4443,-6289.5946,-5.317449,-4.352781,-2.743108,908.5658550005501,7.399095066373049,0.0010164198269173416
TEMPSAT 2,4168,24,1028.0255,4189.8611,-5862.0227,-5.305036,-3.706909,-3.590672,907.3983541201396,7.401182791092313,0.001016869705531117
AZUR (GRS A),4221,1,6217.8364,2784.819,-1676.9123,-0.895657,-2.241821,-7.048111,645.3196350948301,7.450089363625848,0.001061822971456624
AZUR (GRS A),4221,6,1889.357,-689.6439,-6620.9703,-6.448433,-3.703854,-1.285192,548.7201024129799,7.546690737380789,0.0010906063577266916
AZUR (GRS A),4221,12,6123.3586,2744.8605,-2046.6606,-1.244835,-2.427078,-6.933264,644.5968612974448,7.4505349800537815,0.001061995882510829
AZUR (GRS A),4221,24,-2442.0438,270.6774,6310.6697,6.148335,4.005216,2.371425,401.10426961127723,7.711513146555999,0.0011387174265996122
OPS 7613 (P/L 4),4237,1,-2831.2392,-5945.7065,3150.8064,3.795187,1.465424,6.161246,929.3371266017475,7.383215027158629,0.0010113526127793306
OPS 7613 (P/L 4),4237,6,-4467.8181,-5732.1748,-696.6222,1.589184,-2.083035,6.903735,929.9936996257911,7.384178867504904,0.0010113936775323306
OPS 7613 (P/L 4),4237,12,4603.9062,5509.6988,1174.7392,-1.250759,2.503267,-6.8612,904.4893548912933,7.409912900255306,0.0010184762204721858
OPS 7613 (P/L 4),4237,24,4823.8619,5030.1076,2089.7722,-0.534166,3.260708,-6.631388,904.9036514883983,7.408971371476881,0.00101828882381658
